"Звание округов","Христиан: Римско-католического: Мужск.","Христиан: Римско-католического: Женск.","Христиан: Лютеранско-реформатского: Мужск.","Христиан: Лютеранско-реформатского: Женск.","Не христиан: Мусульманского: Мужск.","Не христиан: Мусульманского: Женск.","Не христиан: Идолопоклонников: Мужск.","Не христиан: Идолопоклонников: Женск.","Не христиан: Евреев: Мужск.","Не христиан: Евреев: Женск."
"В Красноярске","320","157","24","24","41","20","—","—","292","267"
"— округе оного","445","90","129","73","129","51","—","—","163","135"
"— Енисейске","126","23","4","2","22","9","—","—","147","130"
"— округе оного","145","15","16","3","61","2","440","340","100","89"
"— Ачинске","35","5","10","4","9","3","—","—","67","69"
"— округе оного","514","34","9","—","87","22","—","—","74","66"
"— Канске","80","27","9","7","1","1","—","—","78","72"
"— округе оного","1474","112","84","12","158","34","—","—","102","62"
"— Минусинске","151","25","1","2","—","—","—","—","6","6"
"— округе оного","1261","167","1025","317","22","14","2589","2607","47","43"
"— Туруханское отделение управления","2","—","—","—","—","—","1179","1047","—","—"
"Итого во всей губернии","4553","655","1311","444","530","156","4208","3994","1076","939"
