"По городам и округам","Число пожаров","Сгорело зданий: Церквей","Сгорело зданий: Казенных зданий","Сгорело зданий: Домов крестьян и др.","На какую сумму: Руб.","На какую сумму: Коп.","Число погибших людей от пожаров","Кораблекрушений"
"В Красноярске","2","—","—","2","3040","—","—","—"
"— округе оного","20","—","—","21","29695","7½","—","—"
"— Енисейске","1","—","—","1","500","—","—","—"
"— округе оного","18","—","—","24","4828","20","1","—"
"— Ачинске","3","—","1","2","1245","—","—","—"
"— округе оного","9","—","—","28","5268","30","—","—"
"— Канске","3","—","—","3","460","—","—","—"
"— округе оного","9","1","1","25","10275","—","—","—"
"— Минусинске","—","—","—","—","—","—","—","—"
"— округе оного","12","—","—","12","878","25","—","—"
"— Туруханском крае","—","—","—","—","—","—","—","—"
"Итого в губернии","77","1","2","118","56189","82½","1","—"
