"По городам и округам (для сопоставления)","Разбитие судов на реках, каналах и озерах","Градобитий","Опустошения бурями","Внезапные смертные случаи: Убитые грозою","Внезапные смертные случаи: От разных несчастных случаев","Внезапные смертные случаи: От невоздержания","Внезапные смертные случаи: От болезненных припадков","Внезапные смертные случаи: Утонувшие","Внезапные смертные случаи: Замерзшие","Найденные младенцы: Живые","Найденные младенцы: Мертвые","Наводнения","Землетрясения"
"В Красноярске","—","—","—","—","9","9","—","1","—","—","—","—","—"
"— округе оного","—","3","1","—","17","8","47","13","1","—","3","—","—"
"— Енисейске","—","—","—","—","16","18","11","—","—","4","—","—","—"
"— округе оного","—","—","—","—","22","14","12","7","6","—","1","—","—"
"— Ачинске","—","—","—","—","—","2","—","1","—","—","—","—","—"
"— округе оного","—","2","—","—","21","8","24","11","—","—","2","—","—"
"— Канске","—","—","—","—","—","2","—","1","—","—","—","—","—"
"— округе оного","—","—","1","1","23","10","14","11","2","—","—","—","—"
"— Минусинске","—","—","—","—","—","6","2","1","—","—","—","—","—"
"— округе оного","—","—","—","—","32","5","3","12","1","—","—","—","—"
"— Туруханском крае","—","—","—","—","—","—","—","—","—","—","—","—","—"
"Итого в губернии","—","5","2","1","140","82","113","58","10","4","6","—","—"
