В каких местах;Оставалось дел нерешенных к 1 января 1866 г.;Вновь поступило в течение года;Решено в течение года;Осталось к 1 января 1867 г. нерешенных (За сим местом);Осталось к 1 января 1867 г. нерешенных (За другими местами);Осталось к 1 января 1867 г. нерешенных (Итого)
В СЛОВЕСНЫХ СУДАХ:;;;;;;
Канском;-;-;-;-;-;-
Минусинском;-;-;-;-;-;-
В Ачинской городовой ратуше;17;45;45;-;17;17
В ОКРУЖНЫХ СУДАХ:;;;;;;
Красноярском;70;485;493;5;57;62
Енисейском;44;486;497;3;30;33
Канском;73;401;430;17;27;44
Минусинском;65;304;278;3;88;91
Ачинском;15;283;278;1;19;20
В ГОРОДОВЫХ СУДАХ:;;;;;;
Красноярском;68;102;122;-;48;48
Енисейском;61;88;99;2;48;50
В ЗЕМСКИХ СУДАХ:;;;;;;
Красноярском;145;498;559;4;80;84
Енисейском;71;501;480;1;91;92
Канском;45;836;654;-;227;227
Минусинском;16;404;392;1;27;28
Ачинском;25;483;472;1;35;36
В ОКРУЖНЫХ КАЗНАЧЕЙСТВАХ:;;;;;;
Красноярском;-;-;-;-;-;-
Енисейском;-;-;-;-;-;-
Канском;-;-;-;-;-;-
Минусинском;-;-;-;-;-;-
Ачинском;-;-;-;-;-;-
В Туруханском отдельном управлении;36;99;113;2;20;22
А всего;;;;;;
