В каких местах;Осталось неисполненных к 1 января 1866 г.;К тому по 1 января 1867 г. поступило (Требующих производства);К тому по 1 января 1867 г. поступило (Подлежащих к приобщению к делу или к сведению);ИТОГО;Из сего числа исполнено по 1 января 1867 г.;За тем к 1 января 1867 г. осталось неисполненных;Исшедших нумеров с 1 января 1866 по 1 января 1867 г.
В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:;;;;;;;
Енисейском;4;1230;134;1234;1232;2;1264
Минусинском;14;1334;383;1348;1330;18;1455
В ГРАДСКИХ ПОЛИЦИЯХ И У ГОРОДНИЧИХ:;;;;;;;
Красноярской;1512;14362;1156;15874;15370;504;15370
Енисейской;42;11120;950;11162;11122;40;12973
Канской;39;3863;804;3902;3837;65;5016
Минусинской;94;5253;625;5347;5264;83;5911
Ачинской;50;5725;375;5775;5720;55;5275
В ГРАДСКИХ ДУМАХ:;;;;;;;
Красноярской;38;2210;156;2248;2213;35;2110
Енисейской;11;1567;287;1578;1569;9;1881
В СИРОТСКИХ СУДАХ:;;;;;;;
Красноярском;10;354;110;364;360;4;717
Енисейском;7;183;102;190;182;8;226
В СЛОВЕСНЫХ СУДАХ:;;;;;;;
Канском;10;670;486;680;665;15;1220
Минусинском;33;1394;346;1427;1384;43;2079
В Ачинской городовой ратуше;35;1734;603;1769;1723;46;2217
В ОКРУЖНЫХ СУДАХ:;;;;;;;
Красноярском;29;2100;1018;2129;2107;22;3751
Енисейском;48;2380;811;2428;2402;26;3510
Канском;-;1544;1072;1544;1540;4;2736
Минусинском;12;1397;2436;1409;1386;23;4080
Ачинском;-;567;546;567;567;-;1384
