В округах;Зимою р. к.;Весною р. к.;Летом р. к.;Осенью р. к.
В Красноярске округе: Муки ржаной;”— 62;”— 73 1/2;”— 61;”— 40
пшеничной;1 — 50;1 — 47;1 — 37;1 — ” ”
Овса;”— 65;”— 69;”— 64 1/2;”— 65
В Енисейском округе: Муки ржаной;1 — 13;”— 99;”— 93;”— 65
пшеничной;1 — 53;1 — 55;1 — 40;1 — 17
Овса;”— 88;”— 77;“ — 77;”— 72
В Ачинском округе: Муки ржаной;”— 82 1/4;”— 88;”— 80;”— 75
пшеничной;1 — 19;1 — 16;1 — 26 1/2;1 — 25 1/2
Овса;”— 60;”— 62 1/2;”— 56 1/2;”— 60
В Минусинском округе: Муки ржаной;”— 52 3/4;”— 49 3/4;”— 49 3/4;”— 48 1/2
пшеничной;”— 87;”— 80;”— 89 1/4;”— 87 1/4
Овса;”— 42 3/4;”— 42 1/2;”— 45 3/4;”— 52 3/4
В Канском округе: Муки ржаной;”— 61 1/2;”— 78;”— 66;”— 63 3/4
пшеничной;1 — 30 3/4;1 — 31;1 — 25;1 — 20
Овса;”— 98;”— 90;”— 90;”— 80

По округам;Озимого ЧЕТВЕРТЕЙ;Ярового ЧЕТВЕРТЕЙ;Картофеля ЧЕТВЕРТЕЙ
Красноярске;4 858;120 607;2 698
Енисейскому;9 524;27 490;2 969
Минусинскому;4 552;73 022;4 255
Ачинскому;19 219;60 426;4 257
