По округам;Озимого ЧЕТВЕРТЕЙ;Ярового ЧЕТВЕРТЕЙ;Картофеля ЧЕТВЕРТЕЙ
Канскому;23 703;77 179;7 188
На землях городских;334;4 562;350
Итого;62 190;363 286;21 717
Итого всего;;425 476;

По округам (сбор хлеба);Озимого ЧЕТВЕРТЕЙ;Ярового ЧЕТВЕРТЕЙ;Картофеля ЧЕТВЕРТЕЙ
Красноярскому;48 403;538 127;24 661
Енисейскому;46 354;109 238;34 242
Минусинскому;35 476;413 493;39 346
Ачинскому;9 673;203 491;26 071
Канскому;172 329;365 404;65 452
На землях городских;1 866;20 073;3 672
Итого;401 159;1 649 826;193 444
Итого всего;;2 050 985;

По округам (сравнение с прошлым годом);Озимого ЧЕТВЕРТЕЙ;Ярового ЧЕТВЕРТЕЙ;Картофеля ЧЕТВЕРТЕЙ
Красноярскому;+20 566;+253 333;-1 138
Енисейскому;+30 934;+80 221;+22 301
Минусинскому;+15 392;+37 071;-7 223
Ачинскому;+12 567;+116 995;+7 479
Канскому;+36 891;+154 028;+17 856
На землях городских;+1 466;-8 212;+2 372
Итого;+117 816;+633 436;+41 647
Итого всего;;+781 252;
