Название заводов;Перекурено вина из муки, пуд.;Получено: % без водного спирта;Получено: Ведер в полугаре (40 %);Среднее число пудов, употребленных в суточный затор;Среднее число получения вина в полугаре из суточного затора;Сколько суток в период действовал завод
Ачинского округа:;;;;;;
Сидоровский;49 368;1 957 769,32;48 944,23;374;370,79;132
Мариинский;12 495;511 922,98;12 798,07;357;365,66;35
Александровский;4 238;166 379,77;4 159,5;163;159,98;26
Михайловский;16 748;677 145,82;16 928,64;212;214,29;79
Леонидовский;48 114;2 012 626,02;50 315,65;243;254,12;198
Канского округа:;;;;;;
Ильинский;62 370;2 494 317,56;62 357,93;540;539,89;115
Ривенский;;;Не действовал;;;
Ивановский;24 415;1 000 230;25 005,75;257;263,22;95
Минусинского округа:;;;;;;
Казанский;28 656;1 185 430;29 635,75;292;302,4;84
