Повинность;Число людей, занятых повинностью;Число подвод;Время занятий
1. Исправление дорог, мостов, перил, постановка верстовых столбов и проч.;17 478;14 024;1 месяц и затем временно по мере надобности
2. Отправление международной обывательской гоньбы;30 364;87 737;1 год
3. Содержание перевозов через реки;116;—;7 месяцев
4. Караулы при церквах и экономических магазинах, употребление при волостных и сельских управлениях десятников и проч.;4 703;—;1 год
5. Приготовление леса для общественных строений, магазинов и ледников;1 523;2 012;1 год
6. Поимка беглых, препровождение их, а равно пересыльных партий;1 769;1 982;1 год
7. Прекращение лесных пожаров;410;205;Временно
8. Работы при межевании земель;705;257;3 месяца
9. Препровождение воинских партий;3 348;1 253;1 год
10. Перевозка караванов с золотом;282;604;Временно
Итого;60 698;108 074;—
