НАИМЕНОВАНИЕ МЕСТНОСТЕЙ;Ссыльно-поселенцев муж.;Ссыльно-поселенцев жен.;Водворяемых рабочих муж.;Водворяемых рабочих жен.;Сосланных на житье муж.;Сосланных на житье жен.;Административно-сосланных муж.;Административно-сосланных жен.
в) Ачинского округа:;;;;;;;;
Покровской;18;2;1;—;—;—;4;—
Назаровской;89;10;35;3;34;1;—;—
Балахтинской;165;5;15;—;1;—;48;3
Ужурской;60;—;—;—;11;—;—;—
г) Минусинского округа:;;;;;;;;
Тесинской;26;—;2;1;6;—;—;—
Сагайской;21;1;2;—;—;—;7;1
Курагинской;12;—;1;—;—;—;8;—
Шушенской;4;1;—;—;—;—;1;1
Бейской;—;—;—;—;—;—;—;—
Ермаковской;36;2;19;—;—;—;7;—
Абаканской;—;—;—;—;—;—;—;—
Идринской;—;—;—;—;—;—;—;—
Новоселовской;—;—;—;—;—;—;—;—
д) Енисейского округа:;;;;;;;;
Яланской;23;—;2;—;7;—;6;—
Бельской;33;1;2;—;8;1;5;—
Анцыферовской;11;—;1;—;1;—;2;—
Маклаковской;17;—;—;—;—;—;—;—
Казачинской;23;—;—;—;—;—;6;1
Причугской;16;—;—;—;—;—;3;—
Кежемской;15;—;—;—;—;—;—;—
Итого;1314;61;179;5;127;3;185;23
