Наименование фабрик и заводов;Город Красноярск: Число фабрик и заводов;Город Красноярск: Сумма производства;Город Красноярск: Число рабочих;Округ Красноярский: Число фабрик и заводов;Округ Красноярский: Сумма производства;Округ Красноярский: Число рабочих;Город Енисейск: Число фабрик и заводов;Город Енисейск: Сумма производства;Город Енисейск: Число рабочих;Округ Енисейский: Число фабрик и заводов;Округ Енисейский: Сумма производства;Округ Енисейский: Число рабочих;Город Канск: Число фабрик и заводов;Город Канск: Сумма производства;Город Канск: Число рабочих
I. Обделывающие животные продукты:;;;;;;;;;;;;;;;
Салотопенные и свечные;3;14350;8;—;—;—;1;1500;3;—;—;—;3;2800;9
Мыловаренные;3;18000;5;—;—;—;—;—;—;—;—;—;—;—;—
Кожевенные;15;57200;35;6;750;11;7;7700;11;2;400;4;3;5600;9
Воскобелильные;1;16880;2;—;—;—;1;12000;3;—;—;—;—;—;—
II. Обделывающие растительные продукты:;;;;;;;;;;;;;;;
Крупчатные;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
Маслобойные;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
Канатные;2;6000;9;—;—;—;2;550;4;—;—;—;—;—;—
Винокуренные;—;—;—;—;—;—;—;—;—;2;257239;56;—;—;—
Водочные;3;117100;16;—;—;—;1;23000;4;—;—;—;—;—;—
Пивоваренные;2;16927;15;—;—;—;1;2400;8;—;—;—;—;—;—
Лесопильные;1;4058;9;—;—;—;—;—;—;—;—;—;—;—;—
III. Обделывающие ископаемые продукты:;;;;;;;;;;;;;;;
Железоделательные и чугунолитейные;1;10000;59;—;—;—;—;—;—;—;—;—;—;—;—
Стеклоделательные;—;—;—;1;4434;23;—;—;—;—;—;—;—;—;—
Фаянсовые;—;—;—;1;640;5;—;—;—;—;—;—;—;—;—
Колокольные;1;4000;2;—;—;—;—;—;—;—;—;—;—;—;—
Кирпичные;12;25620;86;3;760;10;13;3262;29;14;150;45;4;6250;20
Гончарные;2;260;4;—;—;—;—;—;—;—;—;—;—;—;—
Солеваренные;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
Содовый;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
IV. Смешанных продуктов:;;;;;;;;;;;;;;;
Экипажные и кузнечные;4;4500;25;—;—;—;2;1600;10;—;—;—;—;—;—
Итого;50;294895;275;11;6584;49;28;52012;72;18;259139;105;10;14650;38
