Округ Канский: Число фабрик и заводов;Округ Канский: Сумма производства;Округ Канский: Число рабочих;Город Ачинск: Число фабрик и заводов;Город Ачинск: Сумма производства;Город Ачинск: Число рабочих;Округ Ачинский: Число фабрик и заводов;Округ Ачинский: Сумма производства;Округ Ачинский: Число рабочих;Город Минусинск: Число фабрик и заводов;Город Минусинск: Сумма производства;Город Минусинск: Число рабочих;Округ Минусинский: Число фабрик и заводов;Округ Минусинский: Сумма производства;Округ Минусинский: Число рабочих;Всего в губернии: Число фабрик и заводов;Всего в губернии: Сумма производства;Всего в губернии: Число рабочих
—;—;—;—;—;—;—;—;—;3;5000;11;2;1230;4;12;24880;35
—;—;—;1;5000;3;—;—;—;2;300;3;1;400;2;7;23700;13
2;530;2;4;17500;19;7;7614;30;7;18000;28;2;2582;15;55;117876;164
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;2;28880;5
—;—;—;—;—;—;—;—;—;—;—;—;4;141575;33;4;141575;33
—;—;—;—;—;—;2;200;4;4;1500;11;2;2755;24;8;4455;39
—;—;—;—;—;—;1;200;3;—;—;—;2;855;5;7;7605;21
3;311499;100;—;—;—;5;400030;200;—;—;—;3;474886;116;13;1443654;472
—;—;—;—;—;—;—;—;—;—;—;—;1;8100;4;5;148200;24
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;3;19327;23
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;4058;9
—;—;—;—;—;—;—;—;—;—;—;—;1;162500;265;2;172500;324
—;—;—;—;—;—;—;—;—;—;—;—;1;1883;50;2;6317;73
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;640;5
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;4000;2
—;—;—;9;1050;18;4;566;9;3;1000;35;—;—;—;62;40008;252
—;—;—;—;—;—;—;—;—;3;300;6;1;150;11;6;710;11
1;1200000;53;—;—;—;—;—;—;—;—;—;1;2600;37;2;122600;90
—;—;—;—;—;—;—;—;—;—;—;—;1;1534;1;1;4534;1
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;6;6100;35
6;432029;155;14;23550;40;19;408610;246;22;26100;94;22;804050;556;200;2321619;1630
