ГОРОДА И ОКРУГА;Число законнорожденных: муж.;Число законнорожденных: жен.;Число законнорожденных: обоего пола
В г. Красноярске;285;262;547
« Енисейске;155;144;299
« Канске;71;69;140
« Минусинске;202;168;370
« Ачинске;97;90;187
« Туруханске;6;2;8
Итого в городах;816;735;1551
В Красноярском округе;1516;1404;2920
« Енисейском;1100;1082;2182
« Канском;1460;1385;2845
« Минусинском;2750;2650;5400
« Ачинском;1739;1641;3380
« Туруханском крае;107;85;192
Итого в округах;8672;8247;16919
Всего в губернии;9488;8982;18470
