Незаконнорожденных: муж.;Незаконнорожденных: жен.;Незаконнорожденных: обоего пола;ВСЕГО: муж.;ВСЕГО: жен.;ВСЕГО: обоего пола;ЧИСЛО УМЕРШИХ: муж.;ЧИСЛО УМЕРШИХ: жен.;ЧИСЛО УМЕРШИХ: обоего пола;Прибыль + или убыль -;Число браков
65;58;123;350;320;670;578;300;878;208-;122
35;36;71;190;180;370;235;168;403;33-;85
9;7;16;80;76;156;188;96;284;128-;30
25;19;44;227;187;414;244;191;435;21-;68
7;10;17;104;100;204;171;104;275;71-;36
—;—;—;6;2;8;9;1;10;2-;2-
141;130;271;957;865;1822;1425;860;2285;463-;341
124;97;221;1640;1501;3141;1526;1245;2771;370+;508
100;115;215;1200;1197;2397;1013;1032;2045;352+;326
201;180;381;1661;1565;3226;1553;1303;2856;370+;497
711;627;1338;3461;3277;6738;2488;2343;4831;1907+;887
135;140;275;1874;1781;3655;1590;1500;3090;565+;536
16;8;24;123;93;216;33;32;65;151+;46
1287;1167;2454;9959;9414;19373;8203;7455;15658;3715+;2800
1428;1297;2725;10916;10279;21195;9628;8315;17943;3252+;3141
