НАИМЕНОВАНИЕ СБОРОВ;Следовало поступить: Недоимки р.;Следовало поступить: Недоимки к.;Следовало поступить: Оклада 1 р.;Следовало поступить: Оклада 1 к.;Следовало поступить: Оклада 2 р.;Следовало поступить: Оклада 2 к.;Вновь причислено: Недоимки р.;Вновь причислено: Недоимки к.;Вновь причислено: Оклада 1 р.;Вновь причислено: Оклада 1 к.;Вновь причислено: Оклада 2 р.;Вновь причислено: Оклада 2 к.
Подати и окладные платежи:;;;;;;;;;;;;
I. Подушной подати:;;;;;;;;;;;;
1. С государственных крестьян;23939;1;57865;40 3/4;57865;40 3/4;85;27;625;48 3/4;699;89
2. С ссыльнопоселенцев: — полного оклада;6453;52;4604;40 3/4;4604;40 3/4;326;82;284;17;396;3 3/4
— половинного оклада;3172;21;2677;89;2677;88;171;45;194;6;243;52
3. С купцов и мещан, живущих в казенных селениях;13;29;9;72;9;70;—;—;—;—;—;—
4. С оседлых инородцев;189;53;1008;46;1008;46;—;—;19;96;19;96
5. С кочевых инородцев;112;9;1094;68 1/2;1094;68 1/2;—;—;—;—;—;—
Итого;33879;65;67260;56;67260;53;583;54;1123;67 3/4;1359;40 1/4
6. Ясочной подати с кочевых и бродячих инородцев;173;1/2;8459;81;8459;81;—;—;—;—;—;—
12 1/2 коп. сбора, отчисленного с общей массы ясака;—;—;—;—;—;—;789;83;789;83;—;—
Итого подушной подати;34052;65 1/2;75720;37;75720;34;583;54;1913;50 3/4;2149;23 1/4
II. Оброчной подати:;;;;;;;;;;;;
1. С государственных крестьян;167380;75 1/4;126459;2 3/4;126459;2 3/4;288;12;1328;36;1501;45
2. С ссыльнопоселенцев: — полного оклада;71295;37 1/2;10440;71 3/4;10439;95 1/4;1106;9;687;60;937;53
— половинного оклада;61477;86 1/4;9088;67 3/4;9088;31 1/4;747;60;422;11;598;31
3. С купцов и мещан, живущих в казенных селениях;82;41;21;92;21;92;—;—;—;—;—;—
4. С оседлых инородцев;345;72;2202;96;2202;96;—;—;—;—;—;—
5. С переселенцев;3418;66;—;—;—;—;—;—;—;—;—;—
Итого оброчной подати;304000;78 1/4;148213;30 1/4;148222;18 1/4;2143;81;2438;7;3037;29
