*** ено: Недоимки р.;*** ено: Недоимки к.;*** ено: Оклада 1 р.;*** ено: Оклада 1 к.;*** ено: Оклада 2 р.;*** ено: Оклада 2 к.;Поступило: Недоимки р.;Поступило: Недоимки к.;Поступило: Оклада 1 р.;Поступило: Оклада 1 к.;Поступило: Оклада 2 р.;Поступило: Оклада 2 к.;Осталось к 1 января 1885 г.: Недоимки р.;Осталось к 1 января 1885 г.: Недоимки к.;Осталось к 1 января 1885 г.: Оклада 1 р.;Осталось к 1 января 1885 г.: Оклада 1 к.;Осталось к 1 января 1885 г.: Оклада 2 р.;Осталось к 1 января 1885 г.: Оклада 2 к.;ВСЕГО р.;ВСЕГО к.
2233;—;2239;21;732;3;10298;15 1/4;49855;36 1/2;46207;96 1/2;11493;12 1/4;6396;31 1/2;11625;29 1/4;29514;73 1/2
1055;59;647;4 1/4;502;74;810;92;1805;14 1/2;749;99 1/2;4913;83;2436;36 1/2;3702;70 1/2;11052;92
340;42;563;83;244;2;163;22;1030;97 1/4;421;12 1/2;2240;2;1277;14 1/4;2256;25 1/2;5773;41 1/4
—;—;—;44 1/2;—;13 1/2;3;71;3;7;3;65;9;58;6;20 1/2;5;91 1/2;21;70
—;—;22;5;—;68;87;31;832;10;697;47;102;22;174;27;330;27;606;76
—;—;1;99;1;99;3;11;1092;69 1/2;1091;12 1/2;108;98;—;—;1;57;110;55
3629;1;3474;56 1/4;1481;59 1/2;11366;42 1/4;54619;35 1/4;49216;33;18867;75 1/4;10290;31 1/4;1722;1 1/4;47080;8 1/4
—;—;54;38;—;—;172;98 1/2;8105;43;7130;25a;—;2;—;—;1329;55 1/2;1329;57 1/2
—;—;—;—;—;—;—;—;789;83;789;83;—;—;—;—;—;—;—;—
3629;1;3528;94 1/4;1481;59 1/2;12139;41 1/4;63814;61 1/4;57136;41 1/2;18867;77 1/4;10296;31 1/4;19251;56 1/4;48409;65 3/4
16545;66;3050;42;1585;83;30309;65;106491;34 1/2;104699;50;120813;56 1/4;18245;62;21675;14 1/4;160734;33
12708;11;1401;91;1126;16;3573;96;4070;94 1/2;1872;48;56115;39 1/2;5655;46 1/4;8378;84 1/4;70142;70 1/2
5448;72;1090;54 1/4;844;86 1/2;3994;92 1/4;3539;71;1253;95 1/2;52781;82 1/4;488053;53;7587;80 1/4;65250;16
—;—;—;—;—;—;35;67;11;45;7;6;46;74;10;47;14;86;72;7
—;—;1;37;1;37;181;61;1838;61;1895;3;164;11;362;98;306;56;833;65
3418;66;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
38121;15;5544;24 1/4;3558;22 1/2;38101;81 1/4;115952;6 1/4;109728;2 1/2;229921;63;29155;6 1/4;37963;22 1/4;297039;91 1/2
