По земским сборам руб.;По земским сборам коп.;По налогу с недвижимых имуществ и квартирную повинность руб.;По налогу с недвижимых имуществ и квартирную повинность коп.;По выкупным платежам руб.;По выкупным платежам коп.;По разсроченным недоимкам руб.;По разсроченным недоимкам коп.;ВСЕГО руб.;ВСЕГО коп.
7225;73;4126;3;—;—;—;—;11351;76
897;20;2367;63;—;—;—;—;3264;83
466;80;—;—;—;—;—;—;466;80
10092;38;698;37 1/2;—;—;—;—;10790;75 1/2
6898;64;3512;13;—;—;—;—;10440;77
25580;75;10734;16 1/2;—;—;—;—;36314;91 1/2
42447;30;—;—;—;—;14110;16;118643;26
19009;69;—;—;—;—;8651;9;65311;3 1/2
34902;25;—;—;—;—;7523;55;78506;15 1/4
74226;69;—;—;—;—;20137;98;212275;27
24980;17;—;—;—;—;11692;99;81162;81
195566;10;—;—;—;—;62115;77;555898;53 1/4
;;;;;;ВСЕГО;—;592213;44 1/4
