Роды ПРЕСТУПЛЕНИЙ;Число преступлений;Число осужденных (м.);Число осужденных (ж.);В ТОМ ЧИСЛЕ: Дворян потомственных (м.);В ТОМ ЧИСЛЕ: Дворян потомственных (ж.);В ТОМ ЧИСЛЕ: Дворян личных (м.);В ТОМ ЧИСЛЕ: Дворян личных (ж.);В ТОМ ЧИСЛЕ: Почетных граждан и купцов (м.);В ТОМ ЧИСЛЕ: Почетных граждан и купцов (ж.);В ТОМ ЧИСЛЕ: Духовного звания (м.);В ТОМ ЧИСЛЕ: Духовного звания (ж.);В ТОМ ЧИСЛЕ: Мещан (м.);В ТОМ ЧИСЛЕ: Мещан (ж.);В ТОМ ЧИСЛЕ: Крестьян и причисленных в крестьяне ссыльных (м.);В ТОМ ЧИСЛЕ: Крестьян и причисленных в крестьяне ссыльных (ж.)
Преступления против веры и постановлений церкви;5;7;—;—;—;—;—;—;—;—;—;—;—;4;—
Святотатство;8;34;—;—;—;—;—;—;—;2;—;—;—;10;—
Сопротивление распоряжениям правительства, неповиновение установленным властям;4;29;—;—;—;—;—;—;—;—;—;—;—;27;—
Оскорбление и явное неуважение к присутственным местам и чиновникам при отправлении должности;7;13;2;—;—;—;—;—;—;—;—;—;2;7;—
Самовольное присвоение власти и составление подложных указов или предписаний и других исходящих от правительства бумаг;7;12;1;—;—;1;—;—;—;—;—;3;—;3;—
Похищение бумаг или вещей из присутственных мест, сорвание печатей и уничтожение постановленных и приложенных по распоряжению правительства законов;3;3;—;—;—;—;—;—;—;—;—;2;—;—;—
Взлом тюрем, уход и побег находящихся под стражею или надзором;4;17;—;—;—;—;—;—;—;—;—;1;—;8;—
Преступления и проступки по службе государственной и общественной;27;30;—;—;—;3;—;1;—;3;—;—;—;22;—
Нарушение уставов монетных;66;110;4;—;—;—;—;2;—;—;—;8;1;68;2
Нарушение уставов о соли;1;1;—;—;—;—;—;1;—;—;—;—;—;—;—
Нарушение постановлений по питейному сбору и акцизу;4;4;1;—;—;—;—;1;—;—;—;—;—;3;1
Преступления и проступки против постановлений, ограждающих народное здравие;1;1;—;—;—;—;—;—;—;—;—;1;—;—;—
Возбуждение к начатию или продолжению противоуказных исков и тяжб, лживых доносов и проч.;7;24;—;—;—;1;—;—;—;—;—;—;—;23;—
Бродяжество, укрывательство беглых и нарушение постановлений о паспортах;12;14;—;—;—;—;—;—;—;—;—;—;—;7;—
