Города и ОКРУГА;Число случаев смертоубийства: Детоубийство новорожденных;Число случаев смертоубийства: Смертоубийство;Число случаев смертоубийства: Итого;Жертвы смертоубийства: Детоубийство (м.);Жертвы смертоубийства: Детоубийство (ж.);Жертвы смертоубийства: Смертоубийство (м.);Жертвы смертоубийства: Смертоубийство (ж.);Жертвы смертоубийства: Итого (м.);Жертвы смертоубийства: Итого (ж.);Самоубийство (м.);Самоубийство (ж.);Скоропостижно умершие: От болезни (м.);Скоропостижно умершие: От болезни (ж.);Скоропостижно умершие: От пьянства (м.);Скоропостижно умершие: От пьянства (ж.);Скоропостижно умершие: От неизвестных причин (м.);Скоропостижно умершие: От неизвестных причин (ж.);Скоропостижно умершие: Итого (м.);Скоропостижно умершие: Итого (ж.)
В г. Красноярске;2;12;14;1;1;9;3;10;4;5;2;14;4;5;1;3;—;22;5
округе оного;2;26;28;2;—;20;6;22;6;3;—;12;1;16;1;7;—;35;2
г. Енисейске;—;5;5;—;—;4;1;4;1;1;1;4;1;1;1;3;—;8;2
округе оного;2;11;13;—;2;7;4;7;6;2;1;7;1;1;—;2;1;10;2
г. Канске;—;2;2;—;—;2;—;2;—;—;—;1;—;—;—;—;—;1;—
округе оного;—;16;16;—;—;13;3;13;3;1;—;5;2;2;—;17;—;24;2
г. Минусинске;—;5;5;—;—;3;2;3;2;—;—;1;—;—;—;1;—;2;—
округе оного;—;20;20;—;—;17;3;17;3;3;1;1;2;4;1;12;2;17;5
г. Ачинске;2;17;18;1;1;12;5;13;6;—;—;9;3;—;—;9;2;18;5
Итого;8;114;122;4;4;87;27;91;31;15;5;54;14;29;4;54;5;137;23
