В летние месяцы: Число пожаров;В летние месяцы: Число погоревших дворов;В летние месяцы: Сумма убытков;В осенние месяцы: Число пожаров;В осенние месяцы: Число погоревших дворов;В осенние месяцы: Сумма убытков;Всего в год: Число пожаров;Всего в год: Число погоревших дворов;Всего в год: Сумма убытков;Причина пожаров: От молнии;Причина пожаров: От дурного устройства печей и труб;Причина пожаров: От неосторожности;Причина пожаров: От поджога;Причина пожаров: От других причин
1;1;150;1;1;660;5;5;54700;—;1;1;—;3
5;5;1341;3;3;240;21;175;110623;—;4;4;2;11
—;—;—;1;1;100;2;2;400;—;—;1;—;1
2;4;7445;1;1;100;7;37;103646;—;1;2;—;4
1;1;40;—;—;—;2;2;340;—;1;—;—;1
2;9;1165;4;4;2806;14;23;11551;—;4;4;1;5
—;—;—;—;—;—;—;—;—;—;—;—;—;—
—;—;—;4;4;1200;10;25;31083;—;1;—;1;8
—;—;—;—;—;—;1;2;30000;—;—;—;—;1
8;8;13354;10;15;118111;31;56;47014;—;4;5;2;20
19;28;23495;24;29;16917;93;327;389357;—;16;17;6;54
