ЧИСЛЕ: Военного сословия (м.);ЧИСЛЕ: Военного сословия (ж.);ЧИСЛЕ: Инородцев (м.);ЧИСЛЕ: Инородцев (ж.);ЧИСЛЕ: Поселенцев (м.);ЧИСЛЕ: Поселенцев (ж.);ЧИСЛЕ: Ссыльно-каторжных (м.);ЧИСЛЕ: Ссыльно-каторжных (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: Ниже 17 лет (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: Ниже 17 лет (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 17–20 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 17–20 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 21–30 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 21–30 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 31–40 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 31–40 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 41–50 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 41–50 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 51–60 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 51–60 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: Свыше 60 лет (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: Свыше 60 лет (ж.)
1;—;—;—;4;—;—;—;—;—;1;—;3;—;10;—;4;—;2;—;3;—
—;—;—;—;1;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;3;—
—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;—;—;—;—;—;—;—
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;—;—;—;—;—
26;4;30;1;127;5;—;—;4;3;11;2;120;11;169;8;77;6;23;1;11;—
7;1;5;—;12;—;—;—;1;—;—;—;54;3;48;—;14;2;4;—;3;—
2;—;2;—;9;—;—;—;3;—;2;—;20;—;7;—;3;—;1;—;4;—
4;—;—;—;—;—;—;—;—;—;—;—;3;1;28;2;9;—;—;—;—;—
—;—;—;—;1;—;—;—;—;—;—;—;—;—;—;—;1;—;—;—;—;—
1;—;1;—;1;—;—;—;1;—;12;4;28;—;4;—;—;—;—;—;—;—
2;1;9;1;16;—;—;—;3;2;2;—;16;4;16;3;11;1;1;2;3;—
—;—;—;—;3;—;—;—;—;—;—;—;4;1;9;—;4;—;2;—;1;—
18;1;4;—;35;—;—;—;1;—;21;1;69;4;78;3;21;1;9;—;3;—
18;—;—;1;96;3;—;—;7;1;15;9;130;9;188;12;55;2;18;8;13;—
—;—;—;—;—;—;—;—;—;—;1;—;4;1;—;—;—;—;—;—;—;—
1;—;—;—;—;—;—;—;—;—;—;—;1;2;—;—;1;—;—;—;2;—
1;—;—;—;5;—;—;—;—;—;—;—;3;—;12;—;6;1;4;—;3;—
—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
93;7;55;3;381;10;—;—;21;6;65;17;518;42;651;30;278;14;84;13;58;—
