Города и ОКРУГА;В зимние месяцы: Число пожаров;В зимние месяцы: Число погоревших дворов;В зимние месяцы: Сумма убытков;В весенние месяцы: Число пожаров;В весенние месяцы: Число погоревших дворов;В весенние месяцы: Сумма убытков
В г. Красноярске;3;3;53890;—;—;—
округе оного;2;116;68512;11;51;40530
г. Енисейске;1;1;300;—;—;—
округе оного;2;2;300;2;30;95801
г. Канске;1;1;300;—;—;—
округе оного;3;3;275;5;7;7305
г. Ачинске;—;—;—;—;—;—
округе оного;2;2;530;4;19;29353
г. Минусинске;—;—;—;1;2;30000
округе оного;1;1;345;12;32;21504
Итого;15;129;124452;35;141;224493
