В уездных городах: Число учебных заведений;В уездных городах: Число учащихся (муж.);В уездных городах: Число учащихся (жен.);В уездах: Число учебных заведений;В уездах: Число учащихся (муж.);В уездах: Число учащихся (жен.);Всего в губернии: Число учебных заведений;Всего в губернии: Число учащихся (муж.);Всего в губернии: Число учащихся (жен.);Всего в губернии: Число учащихся (обоего пола)
—;—;—;—;—;—;1;201;—;201
1;81;—;—;—;—;1;81;—;81
1;—;103;—;—;—;2;—;279;279
1;—;83;—;—;—;1;—;83;83
1;—;53;—;—;—;1;—;53;58
—;—;—;—;—;—;1;42;—;42
—;—;—;—;—;—;1;56;—;56
2;125;—;—;—;—;3;219;—;219
1;170;—;—;—;—;1;170;—;170
2;94;16;—;—;—;6;240;18;258
2;100;—;—;—;—;2;100;—;100
—;—;—;—;—;—;1;—;81;81
—;—;—;—;—;—;1;98;—;98
—;—;—;41;849;280;41;849;280;1129
—;—;—;1;19;17;1;19;17;36
—;—;—;—;—;—;1;32;—;32
11;570;255;42;868;297;65;2107;811;2918
