НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ;В губернском городе: Число учебных заведений;В губернском городе: Число учащихся (муж.);В губернском городе: Число учащихся (жен.)
Мужская классическая гимназия;1;201;—
Мужская шестиклассная прогимназия;—;—;—
Женская гимназия;1;—;176
Женская прогимназия;—;—;—
Женское одноклассное училище;—;—;—
Учительская семинария;1;42;—
Состоящее при ней училище;1;56;—
Уездное училище с приготовительными при них классами;1;94;—
Городские 3-классные училища;—;—;—
Приходские 1-классные училища;4;146;—
Приходские 2-классные училища;—;—;—
Детский приют;1;—;81
Духовное училище;1;98;—
Сельские начальные училища;—;—;—
Матонинское ремесленное училище в селе Кекурском;—;—;—
Щеголевское ремесленное училище;1;32;—
Итого;12;669;259
