Найденные мертвые тела (м.);Найденные мертвые тела (ж.);Жертвы случайной смерти: Убито градом (м.);Жертвы случайной смерти: Убито градом (ж.);Жертвы случайной смерти: Задавлено и упало с высоты (м.);Жертвы случайной смерти: Задавлено и упало с высоты (ж.);Жертвы случайной смерти: Сгорело и убито на пожарах (м.);Жертвы случайной смерти: Сгорело и убито на пожарах (ж.);Жертвы случайной смерти: Умерло от угара (м.);Жертвы случайной смерти: Умерло от угара (ж.);Жертвы случайной смерти: Замерзло (м.);Жертвы случайной смерти: Замерзло (ж.);Жертвы случайной смерти: Утонуло (м.);Жертвы случайной смерти: Утонуло (ж.);Жертвы случайной смерти: Укушено до смерти зверями (м.);Жертвы случайной смерти: Укушено до смерти зверями (ж.);Жертвы случайной смерти: Умерло от других случайностей (м.);Жертвы случайной смерти: Умерло от других случайностей (ж.);Жертвы случайной смерти: Итого (м.);Жертвы случайной смерти: Итого (ж.);Всего умерло от насильственной смерти и случайностей (м.);Всего умерло от насильственной смерти и случайностей (ж.)
3;1;—;—;—;—;—;—;1;—;3;—;1;—;—;—;1;1;6;1;46;13
33;3;—;—;—;1;—;—;—;—;2;1;1;—;—;—;1;1;4;3;97;17
2;—;—;—;1;—;1;—;—;—;—;—;—;—;—;—;—;2;2;2;17;6
5;1;—;—;2;—;—;—;—;—;1;1;—;—;—;—;—;—;3;1;27;11
1;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;4;—
15;1;—;—;2;—;—;—;1;—;3;—;2;—;—;—;2;—;10;—;63;6
—;—;—;—;—;—;—;—;—;—;—;—;—;1;—;—;—;—;—;1;5;3
24;2;—;—;—;—;—;—;2;—;1;—;—;—;—;—;3;1;6;1;67;12
11;4;—;—;1;—;—;—;1;—;3;—;1;—;—;—;1;—;7;—;49;12
94;12;—;—;6;1;1;—;5;—;13;2;5;1;—;—;8;5;38;9;375;80
